Entity,Code,Date,Total cases,Daily cases
Afghanistan,AFG,31-Dec-19,0,0
Afghanistan,AFG,1-Jan-20,0,0
Afghanistan,AFG,2-Jan-20,0,0
Afghanistan,AFG,3-Jan-20,0,0
Afghanistan,AFG,4-Jan-20,0,0
Afghanistan,AFG,5-Jan-20,0,0
Afghanistan,AFG,6-Jan-20,0,0
Afghanistan,AFG,7-Jan-20,0,0
Afghanistan,AFG,8-Jan-20,0,0
Afghanistan,AFG,9-Jan-20,0,0
Afghanistan,AFG,10-Jan-20,0,0
Afghanistan,AFG,11-Jan-20,0,0
Afghanistan,AFG,12-Jan-20,0,0
Afghanistan,AFG,13-Jan-20,0,0
Afghanistan,AFG,14-Jan-20,0,0
Afghanistan,AFG,15-Jan-20,0,0
Afghanistan,AFG,16-Jan-20,0,0
Afghanistan,AFG,17-Jan-20,0,0
Afghanistan,AFG,18-Jan-20,0,0
Afghanistan,AFG,19-Jan-20,0,0
Afghanistan,AFG,20-Jan-20,0,0
Afghanistan,AFG,21-Jan-20,0,0
Afghanistan,AFG,22-Jan-20,0,0
Afghanistan,AFG,23-Jan-20,0,0
Afghanistan,AFG,24-Jan-20,0,0
Afghanistan,AFG,25-Jan-20,0,0
Afghanistan,AFG,26-Jan-20,0,0
Afghanistan,AFG,27-Jan-20,0,0
Afghanistan,AFG,28-Jan-20,0,0
Afghanistan,AFG,29-Jan-20,0,0
Afghanistan,AFG,30-Jan-20,0,0
Afghanistan,AFG,31-Jan-20,0,0
Afghanistan,AFG,1-Feb-20,0,0
Afghanistan,AFG,2-Feb-20,0,0
Afghanistan,AFG,3-Feb-20,0,0
Afghanistan,AFG,4-Feb-20,0,0
Afghanistan,AFG,5-Feb-20,0,0
Afghanistan,AFG,6-Feb-20,0,0
Afghanistan,AFG,7-Feb-20,0,0
Afghanistan,AFG,8-Feb-20,0,0
Afghanistan,AFG,9-Feb-20,0,0
Afghanistan,AFG,10-Feb-20,0,0
Afghanistan,AFG,11-Feb-20,0,0
Afghanistan,AFG,12-Feb-20,0,0
Afghanistan,AFG,13-Feb-20,0,0
Afghanistan,AFG,14-Feb-20,0,0
Afghanistan,AFG,15-Feb-20,0,0
Afghanistan,AFG,16-Feb-20,0,0
Afghanistan,AFG,17-Feb-20,0,0
Afghanistan,AFG,18-Feb-20,0,0
Afghanistan,AFG,19-Feb-20,0,0
Afghanistan,AFG,20-Feb-20,0,0
Afghanistan,AFG,21-Feb-20,0,0
Afghanistan,AFG,22-Feb-20,0,0
Afghanistan,AFG,23-Feb-20,0,0
Afghanistan,AFG,24-Feb-20,0,0
Afghanistan,AFG,25-Feb-20,1,1
Afghanistan,AFG,26-Feb-20,1,0
Afghanistan,AFG,27-Feb-20,1,0
Afghanistan,AFG,28-Feb-20,1,0
Afghanistan,AFG,29-Feb-20,1,0
Afghanistan,AFG,1-Mar-20,1,0
Afghanistan,AFG,2-Mar-20,1,0
Afghanistan,AFG,8-Mar-20,4,3
Afghanistan,AFG,11-Mar-20,7,3
Afghanistan,AFG,15-Mar-20,10,3
Afghanistan,AFG,16-Mar-20,16,6
Afghanistan,AFG,17-Mar-20,21,5
Afghanistan,AFG,18-Mar-20,22,1
Afghanistan,AFG,19-Mar-20,22,0
Afghanistan,AFG,20-Mar-20,22,0
Afghanistan,AFG,21-Mar-20,24,2
Afghanistan,AFG,22-Mar-20,24,0
Afghanistan,AFG,23-Mar-20,34,10
Afghanistan,AFG,24-Mar-20,40,6
Afghanistan,AFG,25-Mar-20,42,2
Afghanistan,AFG,26-Mar-20,75,33
Afghanistan,AFG,27-Mar-20,75,0
Afghanistan,AFG,28-Mar-20,91,16
Afghanistan,AFG,29-Mar-20,106,15
Afghanistan,AFG,30-Mar-20,114,8
Afghanistan,AFG,31-Mar-20,141,27
Afghanistan,AFG,1-Apr-20,166,25
Afghanistan,AFG,2-Apr-20,192,26
Afghanistan,AFG,3-Apr-20,235,43
Afghanistan,AFG,4-Apr-20,235,0
Afghanistan,AFG,5-Apr-20,270,35
Afghanistan,AFG,6-Apr-20,299,29
Afghanistan,AFG,7-Apr-20,337,38
Afghanistan,AFG,8-Apr-20,367,30
Afghanistan,AFG,9-Apr-20,423,56
Afghanistan,AFG,10-Apr-20,484,61
Afghanistan,AFG,11-Apr-20,521,37
Afghanistan,AFG,12-Apr-20,555,34
Afghanistan,AFG,13-Apr-20,607,52
Afghanistan,AFG,14-Apr-20,665,58
Afghanistan,AFG,15-Apr-20,714,49
Afghanistan,AFG,16-Apr-20,784,70
Afghanistan,AFG,17-Apr-20,794,10
Afghanistan,AFG,18-Apr-20,845,51
Afghanistan,AFG,19-Apr-20,908,63
Afghanistan,AFG,20-Apr-20,996,88
Afghanistan,AFG,21-Apr-20,1031,35
Afghanistan,AFG,22-Apr-20,1092,61
Afghanistan,AFG,23-Apr-20,1176,84
Afghanistan,AFG,24-Apr-20,1281,105
Afghanistan,AFG,25-Apr-20,1351,70
Afghanistan,AFG,26-Apr-20,1463,112
Afghanistan,AFG,27-Apr-20,1531,68
Afghanistan,AFG,28-Apr-20,1703,172
Afghanistan,AFG,29-Apr-20,1827,124
Afghanistan,AFG,30-Apr-20,1949,122
Afghanistan,AFG,1-May-20,2171,222
Afghanistan,AFG,2-May-20,2335,164
Afghanistan,AFG,3-May-20,2469,134
Afghanistan,AFG,4-May-20,2704,235
Afghanistan,AFG,5-May-20,2894,190
Afghanistan,AFG,6-May-20,3224,330
Afghanistan,AFG,7-May-20,3392,168
Afghanistan,AFG,8-May-20,3563,171
Afghanistan,AFG,9-May-20,3778,215
Afghanistan,AFG,10-May-20,4033,255
Afghanistan,AFG,11-May-20,4402,369
Afghanistan,AFG,12-May-20,4687,285
Afghanistan,AFG,13-May-20,4967,280
Afghanistan,AFG,14-May-20,5226,259
Afghanistan,AFG,15-May-20,5339,113
Afghanistan,AFG,16-May-20,6402,1063
Afghanistan,AFG,17-May-20,6402,0
Afghanistan,AFG,18-May-20,6664,262
Afghanistan,AFG,19-May-20,7072,408
Afghanistan,AFG,20-May-20,7653,581
Afghanistan,AFG,21-May-20,8145,492
Afghanistan,AFG,22-May-20,8676,531
Afghanistan,AFG,23-May-20,9216,540
Afghanistan,AFG,24-May-20,9998,782
Afghanistan,AFG,25-May-20,10582,584
Afghanistan,AFG,26-May-20,11173,591
Afghanistan,AFG,27-May-20,11831,658
Afghanistan,AFG,28-May-20,12456,625
Afghanistan,AFG,29-May-20,13036,580
Afghanistan,AFG,30-May-20,13659,623
Afghanistan,AFG,31-May-20,14525,866
Afghanistan,AFG,1-Jun-20,15205,680
Afghanistan,AFG,2-Jun-20,15750,545
Afghanistan,AFG,3-Jun-20,16509,759
Afghanistan,AFG,4-Jun-20,17267,758
Afghanistan,AFG,5-Jun-20,18054,787
Afghanistan,AFG,6-Jun-20,18969,915
Afghanistan,AFG,7-Jun-20,19551,582
Afghanistan,AFG,8-Jun-20,20342,791
Afghanistan,AFG,9-Jun-20,20917,575
Afghanistan,AFG,10-Jun-20,21459,542
Afghanistan,AFG,11-Jun-20,22143,684
Afghanistan,AFG,12-Jun-20,22890,747
Afghanistan,AFG,13-Jun-20,23546,656
Afghanistan,AFG,14-Jun-20,24102,556
Afghanistan,AFG,15-Jun-20,24766,664
Africa,,31-Dec-19,0,0
Africa,,1-Jan-20,0,0
Africa,,2-Jan-20,0,0
Africa,,3-Jan-20,0,0
Africa,,4-Jan-20,0,0
Africa,,5-Jan-20,0,0
Africa,,6-Jan-20,0,0
Africa,,7-Jan-20,0,0
Africa,,8-Jan-20,0,0
Africa,,9-Jan-20,0,0
Africa,,10-Jan-20,0,0
Africa,,11-Jan-20,0,0
Africa,,12-Jan-20,0,0
Africa,,13-Jan-20,0,0
Africa,,14-Jan-20,0,0
Africa,,15-Jan-20,0,0
Africa,,16-Jan-20,0,0
Africa,,17-Jan-20,0,0
Africa,,18-Jan-20,0,0
Africa,,19-Jan-20,0,0
Africa,,20-Jan-20,0,0
Africa,,21-Jan-20,0,0
Africa,,22-Jan-20,0,0
Africa,,23-Jan-20,0,0
Africa,,24-Jan-20,0,0
Africa,,25-Jan-20,0,0
Africa,,26-Jan-20,0,0
Africa,,27-Jan-20,0,0
Africa,,28-Jan-20,0,0
Africa,,29-Jan-20,0,0
Africa,,30-Jan-20,0,0
Africa,,31-Jan-20,0,0
Africa,,1-Feb-20,0,0
Africa,,2-Feb-20,0,0
Africa,,3-Feb-20,0,0
Africa,,4-Feb-20,0,0
Africa,,5-Feb-20,0,0
Africa,,6-Feb-20,0,0
Africa,,7-Feb-20,0,0
Africa,,8-Feb-20,0,0
Africa,,9-Feb-20,0,0
Africa,,10-Feb-20,0,0
Africa,,11-Feb-20,0,0
Africa,,12-Feb-20,0,0
Africa,,13-Feb-20,0,0
Africa,,14-Feb-20,0,0
Africa,,15-Feb-20,1,1
Africa,,16-Feb-20,1,0
Africa,,17-Feb-20,1,0
Africa,,18-Feb-20,1,0
Africa,,19-Feb-20,1,0
Africa,,20-Feb-20,1,0
Africa,,21-Feb-20,1,0
Africa,,22-Feb-20,1,0
Africa,,23-Feb-20,1,0
Africa,,24-Feb-20,1,0
Africa,,25-Feb-20,1,0
Africa,,26-Feb-20,2,1
Africa,,27-Feb-20,2,0
Africa,,28-Feb-20,3,1
Africa,,29-Feb-20,3,0
Africa,,1-Mar-20,5,2
Africa,,2-Mar-20,6,1
Africa,,3-Mar-20,9,3
Africa,,4-Mar-20,11,2
Africa,,5-Mar-20,20,9
Africa,,6-Mar-20,29,9
Africa,,7-Mar-20,43,14
Africa,,8-Mar-20,44,1
Africa,,9-Mar-20,83,39
Africa,,10-Mar-20,95,12
Africa,,11-Mar-20,105,10
Africa,,12-Mar-20,118,13
Africa,,13-Mar-20,159,41
Africa,,14-Mar-20,202,43
Africa,,15-Mar-20,239,37
Africa,,16-Mar-20,324,85
Africa,,17-Mar-20,402,78
Africa,,18-Mar-20,494,92
Africa,,19-Mar-20,633,139
Africa,,20-Mar-20,744,111
Africa,,21-Mar-20,975,231
Africa,,22-Mar-20,1176,201
Africa,,23-Mar-20,1389,213
Africa,,24-Mar-20,1738,349
Africa,,25-Mar-20,2203,465
Africa,,26-Mar-20,2690,487
Africa,,27-Mar-20,3278,588
Africa,,28-Mar-20,3804,526
Africa,,29-Mar-20,4124,320
Africa,,30-Mar-20,4629,505
Africa,,31-Mar-20,5137,508
Africa,,1-Apr-20,5626,489
Africa,,2-Apr-20,6248,622
Africa,,3-Apr-20,6883,635
Africa,,4-Apr-20,7508,625
Africa,,5-Apr-20,8440,932
Africa,,6-Apr-20,9175,735
Africa,,7-Apr-20,9802,627
Africa,,8-Apr-20,10524,722
Africa,,9-Apr-20,11446,922
Africa,,10-Apr-20,12280,834
Africa,,11-Apr-20,12952,672
Africa,,12-Apr-20,13666,714
Africa,,13-Apr-20,14522,856
Africa,,14-Apr-20,15291,769
